"subject" "activity" "tBodyAcc_mean_X" "tBodyAcc_mean_Y" "tBodyAcc_mean_Z"
1 "WALKING" 0.265696920582133 -0.0182981725176081 -0.10784573454611
2 "STANDING" 0.273113115788079 -0.0191323183174834 -0.115649958175497
3 "WALKING" 0.273428719636364 -0.017856067384956 -0.106492632429097
4 "STANDING" 0.274183111498423 -0.0148081545344921 -0.107521430810726
5 "WALKING" 0.279177960301325 -0.0154833455336192 -0.105661736816887
6 "WALKING" 0.272376614181538 -0.0175697042641846 -0.11599454136
7 "WALKING" 0.270211697814935 -0.0187904887668182 -0.112492375388312
8 "WALKING" 0.278268887727273 -0.0144537072594949 -0.109006309141414
8 "WALKING_UPSTAIRS" 0.266674048906593 -0.0202216031321978 -0.105614723352747
9 "STANDING" 0.270313841621528 -0.0209466555412396 -0.101233826213889
10 "LAYING" 0.276977089565657 -0.0170332984576263 -0.110873504487879
10 "STANDING" 0.276583204166667 -0.0194909304979167 -0.1121843393125
11 "WALKING_UPSTAIRS" 0.27658531139557 -0.0191272531933228 -0.108941761642405
12 "LAYING" 0.27360872421875 -0.018337204411489 -0.106649116775
13 "LAYING" 0.275895876198777 -0.0176504796070948 -0.109135285550765
14 "WALKING_UPSTAIRS" 0.270184596009288 -0.0162548178510526 -0.100985935692074
15 "WALKING_UPSTAIRS" 0.27821340725 -0.016464484771311 -0.112563587594512
16 "WALKING_UPSTAIRS" 0.277887440374317 -0.0158567888309016 -0.107263924445355
17 "WALKING_DOWNSTAIRS" 0.273849441115044 -0.0175178488555457 -0.10894543593472
17 "WALKING_UPSTAIRS" 0.276134936206897 -0.0178192998868966 -0.112173902413793
18 "LAYING" 0.276324152142857 -0.0172831546595266 -0.108112251068681
19 "WALKING_DOWNSTAIRS" 0.269723487105556 -0.0182031515710306 -0.118277180099383
20 "LAYING" 0.268425757926554 -0.0175912993773164 -0.108029145824294
21 "WALKING_DOWNSTAIRS" 0.277466525522059 -0.0176664578561765 -0.10877848058848
22 "SITTING" 0.242298449272727 -0.0316561370181818 -0.105664296590909
22 "WALKING_DOWNSTAIRS" 0.277156731173244 -0.0157362798544615 -0.108891559940803
23 "SITTING" 0.273493254730108 -0.019589258786828 -0.109093982385242
24 "LAYING" 0.276767046391076 -0.0176822460103885 -0.107914503687664
25 "SITTING" 0.275301467772127 -0.0193221769314914 -0.10962903098044
26 "SITTING" 0.2730365808625 -0.0161687277463495 -0.107637894928571
27 "SITTING" 0.277264567074468 -0.0167969215592152 -0.110848300413564
28 "SITTING" 0.278739266553398 -0.0187975204834951 -0.107807008381068
28 "STANDING" 0.276120153465909 -0.0196106242455114 -0.111939260223295
29 "STANDING" 0.279111521944767 -0.018471953048314 -0.108675612269477
30 "STANDING" 0.276305836721932 -0.0175856077340209 -0.10589355727859
